Name;;Color;;;Model;;Year;More details;
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;
Muscle speeder;;blue;;;Race car;;2015;;
track ripper;;light blue;;;Race car;;2017;;
what-4-2;;blue ;;;future car;;2004;;
96 nissan 180SX type X;;blue;;;Car;;2015;;
firebird ;;blue;;;drag car ;;2018;;
BMW M3 GT2;;blue;;;Race car;;2011;;
lamborghini veneno;;green;;;Car;;2013;;
69 dodge charger ;;green;;;Car;;2004;;
Salt shaker;;Yellow, dark grey, silver, red, black;;;Race car;;2014;;
Turbo rooster;;Yellow,red,purple,blue,silver;;;Flying race car;;2016;;
1997 ford f-150;;Yellow,silver,black,blue,red,;;;Monster truck;;1997;;
F1 racer;;Red,yellow,black,grey;;;Race car;;2016;;
Dodge Challenger Drift car;;Red,black,white;;;Drift car;;2010;;
Audacious;;Red,yellow,black,white;;;Tunned car;;2002;;
?(Hotwheels);;Red,yellow,black,silver;;;Future car;;1991;;
Synkro;;Red,black,silver;;;Race car;;?;With wing;
DeLorean (DMC);;Red,yellow,black,white,blue;;;Car;;2009;;
Amazoom;;Yellow, black, white, blue,red,orange;;;Race car;;2013;;
X-steam;;Gold, grey, blue, turquoise, black;;;Future car;;2014;;
Heavy hitcher;;Orange, blue, yellow, white, black, silver;;;Truck;;2018;;
Horseplay;;Red,silver,black;;;X-raycers;;2012;;
Time shifter;;Red,yellow,black,green;;;Van;;2017;;
Lambo urus;;Red,black;;;Car;;2014;;
Arrow dynamic;;Red,yellow,white,black;;;Gokart;;2012;;
Time attaxi;;Red,black;;;taxi;;2015;;
Synkro;;Red,black,silver;;;Car;;2009;No wing;
Stockar;;Orange,silver;;;Stock car;;2012;;
Pony up;;Orange, white, black;;;Car;;2001;;
Pro stock chevy s10;;Neon orange;;;Drag car;;2000;;
12 corvette ZO6;;Brown,yellow,black;;;Car;;2012;;
71 dodge demon;;Orange;;;Car;;2008;;
Olds 442;;Brown,black;;;Car;;2009;;
?(build up car);;orange;;;Car or lifted car;;2015;;
Lambo estoque;;white;;;Car;;2011;;
Mazda REPU;;white;;;Pickup truck;;2016;;
Honda racer;;white;;;racer;;2014;;
Hiway hauler;;Black,blue;;;Truck;;2014;;
Shoe box;;white;;;Car;;2000;;
Circle trucker;;white;;;Drag car;;2010;;
85 mustang convertible;;White,red;;;Car;;2013;;
Power Rocket;;white;;;future Car;;2016;;
Scoops di fuego;;White;;;Car;;2009;;
Split decision;;White + blue;;;Future car;;2012;1 door broken;
GAZELLA R;;white;;;Future car;;2017;;
MBX Flatbed king;;White + blue;;;truck;;2017;Not hotwheels;
10 pro stock camaro;;Grey;;;dragster;;2010;;
RD-03;;silver;;;Car;;2014;;
revited;;black;;;Car;;2004;;
82 Nissan skyline R30;;grey;;;Car;;2017;;
71 Datsun 510 wagon;;grey;;;Car;;2012;;
Custom 77 dodge van;;silver;;;Van;;2018;;
Lancia stratos;;grey;;;Car;;2014;;
Custom 56 ford truck;;grey;;;Pickup truck truck;;2008;;
hotweiler;;grey;;;Pickup truck truck;;2016;Its a dog;
Baja hauler;;Grey + red;;;truck;;2016;;
vandetta;;Silver + purple;;;Future car;;2017;;
Monster diary delivery;;white;;;Monster truck;;2012;;
Nitrium;;orange;;;X-raycers;;2013;;
Aston Martin one-77;;Silver/grey;;;Gran. car;;2011;;
Golden arrow;;silver;;;Car;;2002;;
Two timer;;silver;;;Race car;;2014;;
Chevy Camaro concept;;black;;;Car;;2011;;
Roller toaster;;Black;;;Van;;2016;;
Custom 62 chevy;;black;;;Pickup truck;;2015;;
Porsche 934 turbo RSR;;Grey + blue;;;racer;;2014;;
68 copo camaro;;grey;;;Car;;2010;50 years hot wheels;
Fairlady 2000;;Black;;;Car;;2016;;
Porsche 934.5;;black;;;Race car;;2016;;
Toyota AE-86 Corolla;;red;;;Car;;2005;;
Ford GT LM;;black;;;Car;;2015;;
67 Plymouth GTX;;black;;;Car;;2009;;
Zoom in;;black;;;Car;;2017;Has place for go pro;
Old number 5.5;;red;;;Fire engine;;2011;;
Porsche 918 spyder;;black;;;Car;;2012;;
Cyber speeder;;red;;;Future car;;2017;;
Double vision;;yellow;;;Car;;1998;;
Dodge XP-07;;pink;;;Car;;2019;;
Fast felion;;blue;;;Car;;2008;;
RRRoadster;;black;;;Car;;2014;Like fast felion just without roof;
Gas monkey 68 corvette;;gold;;;Car;;2016;Made from gas monkey;
Studebaker avanti;;gold;;;Car;;1963;;
1941 ford Pickup truck;;Black + yellow;;;Pickup truck;;2002;;
52 chevy;;Gold;;;Pickup truck;;2006;;
11 Dodge Charger R/T;;yellow;;;Car;;2013;Color shifter;
Lambo murcielago;;yellow;;;Car;;2002;;
Cabbin fever;;black+white+gold;;;truck;;2000;;
Howlin’ heat;;brown;;;Car;;2010;Angry cat;
What a drag;;orange+silver;;;Trike;;1998;;
71 Ford Mustang mach 1;;Red;;;Car;;2019;James bonds car;
Ferrari 430 scuderia;;Red + yellow stripes;;;Car;;2008;;
Porsche 911 GT3 RS;;red;;;Car;;2010;;
Rocketfire;;orange;;;Rocket car;;2009;;
Power pipes;;Brown/orange;;;Car;;2011;;
backdrafter;;orange;;;Truck/car;;2014;;
Lamborghini huracan LP 620-2 Super trofeo;;Orange neon;;;Race car;;2016;;
Hot wheels high;;gold;;;bus;;2013;;
Fast felion;;black;;;Car;;2008;;
Avant garde;;Blue;;;Old/future car;;2008;;
Avant garde;;yellow;;;Old/future car;;2008;;
Honda S2000;;Turquoise;;;Race car;;2010;;
Fast master;;blue;;;Car;;2017;50 years of hot wheels;
Rev rod;;brown;;;Car;;2017;;
Rev rod;;torqouise;;;Car;;2018;;
Cockney cab;;blue;;;taxi;;2005;;
Customised C3500;;turquoise;;;Pickup truck;;1997;;
71 Plymouth GTX;;blue;;;Car;;2010;;
Epic fast;;Light blue;;;Car;;2017;;
Grassed lightnin’;;Blue light;;;Race car;;2000;;
Dodge Charger SRT8;;Blue;;;Car;;2006;;
Velocita;;purple;;;Car;;2017;;
Pikes peak celica;;blue;;;Race car;;1997;;
C6 corvette;;Blue;;;Car;;2003;;
Enzo ferrrari;;blue;;;Car;;2002;;
Tread air;;Light blue;;;Snow car;;2009;;
Torque screw;;Turquoise;;;Car;;2004;;
24/seven;;blue;;;Car;;2002;;
High voltage;;Light blue;;;Car;;2005;;
Brit speed;;blue;;;Car;;2009;;
09 corvette ZRI;;Light blue;;;Car;;2008;;
Fi racer;;purple;;;Formula car;;2017;;
Volkswagen T2Pickup truck;;Green weird;;;Pickup truck truck;;2016;;
Ford GT LM;;Light blue;;;Race car;;2015;;
ford GT-40 ;;blue;;;Car;;1999;;
69 COPO Corvette;;red orange;;;Car;;2010;;
1968 Mustang;;green ;;;car with big motor;;2002;HW flames;
Sting Rod;;red;;;Car;;2009;has rockets on top;
Midnight Otto;;blue;;;Car;;2001;;
Porsche Carrrera GT;;silver;;;Car;;2006;;
Hover and Out ;;purple;;;future car;;2017;;
