real rider?;set;set;# out of (only for);Name;Name;color;color;model;model;year;more details;
yes;circuit legends;;5/5;Mazda 787B;;white;;Race car;;2017;;
yes;circuit legends;;2/5;`69 copo corvette;;yellow and black;;Race car;;2010;;
yes;circuit legends;;3/5;porsche 962;;red and black;;Race car;;2016;;
yes;euro speed;;2/5;BMW M1 procar;;black;;project car;;2016;;
yes;silhouettes;;4/5;RWB PORSCHE 930;;Black;;tuned car;;2018;;
yes;silhouettes;;5/5;Nissan skyline silhouette;;red and black;;tuned car;;2018;;
yes;silhouettes;;2/5;`76 Greenwood corvettte;;light blue;;tuned car;;2012;;
yes;silhouettes;;3/5;78 porsche 935-78;;white;;tuned car;;2011;;
yes;silhouettes;;1/5;76 chevy monza;;red colors;;tuned car;;2011;;
yes ;forza motorsport;;3/5;porsche 911 GT3 RS;;silver and red;;Race car;;2017;;
yes;forza motorsport;;2/5;73 BMW 3.0 CSL race car;;white;;Race car;;2017;;
yes;forza motorsport;;3/5;BMW 2002;;white;;Race car;;2018;;
yes;forza motorsport;;4/5;Lamborghini Veneno;;yellow and black;;Race car;;2016;;
yes;forza motorsport;;5/5;lamborghini huracán lp 610-4;;green and black and white;;Race car;;2018;;
no;factory fresh;;----------------------;mod rod;;blue;;hot rod;;2019;;
no;hw exotics;;---------------------;porsche gt3 rs;;black and gold;;Race car;;2016;;
no;then and now;;---------------------;55 corvette;;black and white;;Old car;;2012;;
no ;olympic games tokyo 2020;;---------------------;hi beam;;pink;;rally car;;2017;;
no;olympic games tokyo 2020;;---------------------;velocita;;black and blue;;Car;;2014;;
no;speed blur;;---------------------;track manga;;white and red;;old car;;2017;;
no;camo set;;2/5;16 honda civic type r;;orange;;Race car;;2016;;
no ;camo set;;1/5;nissan skyline H/T 2000GT-X;;blue;;Car;;2011;;
no;camo set;;4/5;18 camaro ss;;green  ;;Car;;2018;;
no;camo set;;5/5;68 el camino;;pink;;Car;;1999;;
no ;nico rosberg;;1/3;F-racer;;black and white;;formel 1;;2003;;
no;nico rosberg;;3/3;winning formula;;light blue/ turqoise;;formel 1;;2014;;
no;nico rosberg;;2/3;F1 Racer;;white;;formel 1;;2018;;
no;Hw race day;;---------------------;16 mercedes-amg gt3;;light blue;;sports car;;2017;;
no;hw speed ;;---------------------;95 mazda rx-7;;black;;Race car;;2017;;
no;hw roadsters;;---------------------;lamborghini reventon roadser;;green;;sports car;;2010;;
